@relation pittsburgh_bridges2.1
@attribute V2 {'A','M','O','Y'}
@attribute V3 numeric
@attribute V4 {'CRAFTS','EMERGING','MATURE','MODERN'}
@attribute V5 {'AQUEDUCT','HIGHWAY','RR','WALK'}
@attribute V6 {'LONG','MEDIUM','SHORT'}
@attribute V7 numeric
@attribute V8 {'G','N'}
@attribute class {'DECK','THROUGH'}
@data
'A',31,'EMERGING','RR',?,2,'G','THROUGH'
'A',26,'EMERGING','HIGHWAY','MEDIUM',2,'G','THROUGH'
'M',3,'EMERGING','HIGHWAY','MEDIUM',2,'G','THROUGH'
'A',30,'EMERGING','HIGHWAY',?,2,'G','THROUGH'
'M',8,'EMERGING','RR','MEDIUM',2,'G','THROUGH'
'O',41,'EMERGING','RR','LONG',2,'G','THROUGH'
'M',19,'EMERGING','HIGHWAY','MEDIUM',?,'G','THROUGH'
'O',45,'MATURE','HIGHWAY',?,2,'G','THROUGH'
'A',27,'MATURE','HIGHWAY','MEDIUM',2,'G','THROUGH'
'M',17,'MATURE','HIGHWAY',?,2,'G','THROUGH'
'M',18,'MATURE','RR','MEDIUM',2,'G','THROUGH'
'A',25,'MATURE','HIGHWAY',?,2,'G','THROUGH'
'A',27,'MATURE','AQUEDUCT','MEDIUM',1,'N','THROUGH'
'M',22,'MATURE','HIGHWAY',?,2,'G','THROUGH'
'M',11,'MATURE','HIGHWAY',?,2,'G','THROUGH'
'M',9,'MATURE','HIGHWAY','LONG',2,'G','THROUGH'
'O',48,'MATURE','HIGHWAY',?,2,'G','THROUGH'
'M',7,'MATURE','HIGHWAY','MEDIUM',2,'G','THROUGH'
'A',37,'MATURE','RR','LONG',2,'G','DECK'
'M',14,'MATURE','RR','LONG',?,'G','THROUGH'
'M',15,'MATURE','RR','LONG',2,'G','THROUGH'
'A',33,'MATURE','HIGHWAY','MEDIUM',2,'G','THROUGH'
'A',38,'MATURE','HIGHWAY','LONG',2,'G','THROUGH'
'M',13,'MATURE','RR',?,2,'G','THROUGH'
'A',34,'MATURE','HIGHWAY','MEDIUM',2,'G','THROUGH'
'M',16,'MATURE','RR','MEDIUM',2,'G','THROUGH'
'A',35,'MATURE','RR','LONG',2,'G','THROUGH'
'M',6,'MATURE','RR','MEDIUM',2,'G','THROUGH'
'M',21,'MATURE','RR','MEDIUM',?,'G','THROUGH'
'M',4,'MATURE','RR','MEDIUM',2,'G','THROUGH'
'A',28,'MATURE','RR','SHORT',4,'G','THROUGH'
'M',2,'MATURE','RR','MEDIUM',?,'G','THROUGH'
'Y',?,'MATURE','HIGHWAY','MEDIUM',?,'G',?
'M',23,'MATURE','HIGHWAY',?,?,'G','THROUGH'
'A',36,'MATURE','HIGHWAY','MEDIUM',2,'G','THROUGH'
'O',49,'MATURE','RR','MEDIUM',2,'G','THROUGH'
'O',43,'MATURE','HIGHWAY','MEDIUM',2,'G','THROUGH'
'A',39,'MATURE','RR',?,?,'G',?
'M',10,'MATURE','RR','LONG',?,'G','THROUGH'
'O',41,'MATURE','RR','LONG',2,'G','THROUGH'
'A',24,'MATURE','HIGHWAY','MEDIUM',4,'G','THROUGH'
'A',37,'MATURE','RR','LONG',2,'N','DECK'
'A',31,'MATURE','RR','LONG',2,'G','THROUGH'
'A',30,'MATURE','WALK',?,?,'G','THROUGH'
'A',29,'MATURE','HIGHWAY','SHORT',4,'G','THROUGH'
'A',32,'MATURE','HIGHWAY','LONG',4,'G','THROUGH'
'A',27,'MATURE','HIGHWAY','SHORT',4,'G','THROUGH'
'A',26,'MATURE','HIGHWAY','SHORT',4,'G','THROUGH'
'O',46,'MATURE','HIGHWAY','MEDIUM',2,'G','THROUGH'
'A',38,'MATURE','HIGHWAY','MEDIUM',?,'G','THROUGH'
'M',5,'MATURE','HIGHWAY','LONG',4,'N','DECK'
'M',1,'MATURE','HIGHWAY','MEDIUM',4,'G','THROUGH'
'A',30,'MATURE','HIGHWAY','LONG',4,'G','DECK'
'M',20,'MATURE','HIGHWAY','LONG',2,'G','DECK'
'A',25,'MATURE','HIGHWAY','SHORT',4,'G','THROUGH'
'M',17,'MATURE','HIGHWAY','LONG',2,'G','THROUGH'
'O',40,'MATURE','HIGHWAY','MEDIUM',4,'G','THROUGH'
'O',42,'MATURE','HIGHWAY','MEDIUM',4,'N','THROUGH'
'M',6,'MATURE','HIGHWAY','MEDIUM',4,'G','THROUGH'
'M',11,'MATURE','HIGHWAY','MEDIUM',4,'N','DECK'
'A',34,'MATURE','HIGHWAY','MEDIUM',4,'G','DECK'
'A',39.5,'MODERN','HIGHWAY','MEDIUM',4,'G','DECK'
'A',39.7,'MODERN','RR','SHORT',2,'G','THROUGH'
'A',38.5,'MODERN','HIGHWAY','MEDIUM',2,'N','DECK'
'O',48,'MODERN','HIGHWAY','LONG',2,'G','THROUGH'
'Y',52,'MODERN','HIGHWAY',?,?,'G','THROUGH'
'Y',51,'MODERN','RR',?,?,'G','THROUGH'
'M',23,'MODERN','HIGHWAY','MEDIUM',2,'G','THROUGH'
'M',22,'MODERN','HIGHWAY','SHORT',4,'G','THROUGH'
'M',14,'MODERN','HIGHWAY','LONG',4,'G','DECK'
'M',19,'MODERN','HIGHWAY','MEDIUM',4,'G','THROUGH'
'A',37,'MODERN','HIGHWAY','LONG',4,'N','DECK'
'O',42,'MODERN','HIGHWAY','SHORT',?,'G','THROUGH'
'O',47,'MODERN','HIGHWAY','MEDIUM',2,'G','THROUGH'
'M',1,'MODERN','HIGHWAY','MEDIUM',6,'G','THROUGH'
'A',33,'MODERN','HIGHWAY','SHORT',4,'G','DECK'
'M',9,'MODERN','HIGHWAY','LONG',4,'G','DECK'
'A',24,'MODERN','HIGHWAY','SHORT',6,'G','THROUGH'
'O',44,'MODERN','HIGHWAY','LONG',6,'G','THROUGH'
'M',7,'MODERN','HIGHWAY','SHORT',6,'G','THROUGH'
'O',43,'MODERN','HIGHWAY',?,?,'G',?
'A',28,'MODERN','HIGHWAY',?,?,'G',?
