@relation pittsburgh_bridges_1.1
@attribute V2 {'A','M','O','Y'}
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 {'AQUEDUCT','HIGHWAY','RR','WALK'}
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 {'G','N'}
@attribute class {'DECK','THROUGH'}
@data
'A',32,1924,'HIGHWAY',2365,4,'G','THROUGH'
'A',27,1926,'HIGHWAY',860,4,'G','THROUGH'
'A',26,1926,'HIGHWAY',884,4,'G','THROUGH'
'O',46,1927,'HIGHWAY',1770,2,'G','THROUGH'
'A',38,1927,'HIGHWAY',1508,?,'G','THROUGH'
'M',5,1927,'HIGHWAY',2663,4,'N','DECK'
'M',1,1927,'HIGHWAY',1330,4,'G','THROUGH'
'A',30,1928,'HIGHWAY',2678,4,'G','DECK'
'M',20,1928,'HIGHWAY',2220,2,'G','DECK'
'A',25,1928,'HIGHWAY',860,4,'G','THROUGH'
'M',17,1928,'HIGHWAY',2250,2,'G','THROUGH'
'O',40,1931,'HIGHWAY',1365,4,'G','THROUGH'
'O',42,1931,'HIGHWAY',1450,4,'N','THROUGH'
'M',6,1931,'HIGHWAY',1500,4,'G','THROUGH'
'M',11,1937,'HIGHWAY',1690,4,'N','DECK'
'A',34,1939,'HIGHWAY',1800,4,'G','DECK'
'A',39.5,1945,'HIGHWAY',1060,4,'G','DECK'
'A',39.7,1945,'RR',840,2,'G','THROUGH'
'A',38.5,1945,'HIGHWAY',1710,2,'N','DECK'
'O',48,1945,'HIGHWAY',2160,2,'G','THROUGH'
'Y',52,1945,'HIGHWAY',?,?,'G','THROUGH'
'Y',51,1945,'RR',?,?,'G','THROUGH'
'M',23,1950,'HIGHWAY',1320,2,'G','THROUGH'
'M',22,1951,'HIGHWAY',900,4,'G','THROUGH'
'M',14,1951,'HIGHWAY',2423,4,'G','DECK'
'M',19,1951,'HIGHWAY',1031,4,'G','THROUGH'
'A',37,1955,'HIGHWAY',2300,4,'N','DECK'
'O',42,1955,'HIGHWAY',804,?,'G','THROUGH'
'O',47,1959,'HIGHWAY',1700,2,'G','THROUGH'
'M',1,1959,'HIGHWAY',1000,6,'G','THROUGH'
'A',33,1961,'HIGHWAY',980,4,'G','DECK'
'M',9,1962,'HIGHWAY',2213,4,'G','DECK'
'A',24,1969,'HIGHWAY',870,6,'G','THROUGH'
'O',44,1975,'HIGHWAY',3756,6,'G','THROUGH'
'M',7,1978,'HIGHWAY',950,6,'G','THROUGH'
'O',43,1982,'HIGHWAY',?,?,'G',?
'A',28,1986,'HIGHWAY',?,?,'G',?
