@relation pittsburgh_bridges2.3
@attribute V2 {'A','M','O','Y'}
@attribute V3 numeric
@attribute V4 {'CRAFTS','EMERGING','MATURE','MODERN'}
@attribute V5 {'AQUEDUCT','HIGHWAY','RR','WALK'}
@attribute V6 {'LONG','MEDIUM','SHORT'}
@attribute V7 numeric
@attribute V8 {'G','N'}
@attribute class {'LONG','MEDIUM','SHORT'}
@data
'A',31,'EMERGING','RR',?,2,'G','MEDIUM'
'A',26,'EMERGING','HIGHWAY','MEDIUM',2,'G','MEDIUM'
'M',3,'EMERGING','HIGHWAY','MEDIUM',2,'G','MEDIUM'
'A',30,'EMERGING','HIGHWAY',?,2,'G','MEDIUM'
'M',8,'EMERGING','RR','MEDIUM',2,'G','MEDIUM'
'O',41,'EMERGING','RR','LONG',2,'G','LONG'
'M',19,'EMERGING','HIGHWAY','MEDIUM',?,'G','MEDIUM'
'O',45,'MATURE','HIGHWAY',?,2,'G','SHORT'
'A',27,'MATURE','HIGHWAY','MEDIUM',2,'G','MEDIUM'
'M',17,'MATURE','HIGHWAY',?,2,'G','MEDIUM'
'M',18,'MATURE','RR','MEDIUM',2,'G','MEDIUM'
'A',25,'MATURE','HIGHWAY',?,2,'G','MEDIUM'
'A',27,'MATURE','AQUEDUCT','MEDIUM',1,'N','SHORT'
'M',22,'MATURE','HIGHWAY',?,2,'G','MEDIUM'
'M',11,'MATURE','HIGHWAY',?,2,'G','MEDIUM'
'M',9,'MATURE','HIGHWAY','LONG',2,'G','LONG'
'O',48,'MATURE','HIGHWAY',?,2,'G','LONG'
'M',7,'MATURE','HIGHWAY','MEDIUM',2,'G','LONG'
'A',37,'MATURE','RR','LONG',2,'G','LONG'
'M',14,'MATURE','RR','LONG',?,'G',?
'M',15,'MATURE','RR','LONG',2,'G','MEDIUM'
'A',33,'MATURE','HIGHWAY','MEDIUM',2,'G','MEDIUM'
'A',38,'MATURE','HIGHWAY','LONG',2,'G','MEDIUM'
'M',13,'MATURE','RR',?,2,'G','LONG'
'A',34,'MATURE','HIGHWAY','MEDIUM',2,'G','MEDIUM'
'M',16,'MATURE','RR','MEDIUM',2,'G','MEDIUM'
'A',35,'MATURE','RR','LONG',2,'G','MEDIUM'
'M',6,'MATURE','RR','MEDIUM',2,'G','MEDIUM'
'M',21,'MATURE','RR','MEDIUM',?,'G','LONG'
'M',4,'MATURE','RR','MEDIUM',2,'G','MEDIUM'
'A',28,'MATURE','RR','SHORT',4,'G','MEDIUM'
'M',2,'MATURE','RR','MEDIUM',?,'G','LONG'
'Y',?,'MATURE','HIGHWAY','MEDIUM',?,'G','MEDIUM'
'M',23,'MATURE','HIGHWAY',?,?,'G','MEDIUM'
'A',36,'MATURE','HIGHWAY','MEDIUM',2,'G','LONG'
'O',49,'MATURE','RR','MEDIUM',2,'G','LONG'
'O',43,'MATURE','HIGHWAY','MEDIUM',2,'G','LONG'
'A',39,'MATURE','RR',?,?,'G',?
'M',10,'MATURE','RR','LONG',?,'G','MEDIUM'
'O',41,'MATURE','RR','LONG',2,'G','LONG'
'A',24,'MATURE','HIGHWAY','MEDIUM',4,'G','LONG'
'A',37,'MATURE','RR','LONG',2,'N','LONG'
'A',31,'MATURE','RR','LONG',2,'G','MEDIUM'
'A',30,'MATURE','WALK',?,?,'G',?
'A',29,'MATURE','HIGHWAY','SHORT',4,'G','MEDIUM'
'A',32,'MATURE','HIGHWAY','LONG',4,'G','MEDIUM'
'A',27,'MATURE','HIGHWAY','SHORT',4,'G','MEDIUM'
'A',26,'MATURE','HIGHWAY','SHORT',4,'G','MEDIUM'
'O',46,'MATURE','HIGHWAY','MEDIUM',2,'G','LONG'
'A',38,'MATURE','HIGHWAY','MEDIUM',?,'G','MEDIUM'
'M',5,'MATURE','HIGHWAY','LONG',4,'N','MEDIUM'
'M',1,'MATURE','HIGHWAY','MEDIUM',4,'G','LONG'
'A',30,'MATURE','HIGHWAY','LONG',4,'G','MEDIUM'
'M',20,'MATURE','HIGHWAY','LONG',2,'G','MEDIUM'
'A',25,'MATURE','HIGHWAY','SHORT',4,'G','MEDIUM'
'M',17,'MATURE','HIGHWAY','LONG',2,'G','MEDIUM'
'O',40,'MATURE','HIGHWAY','MEDIUM',4,'G','LONG'
'O',42,'MATURE','HIGHWAY','MEDIUM',4,'N','LONG'
'M',6,'MATURE','HIGHWAY','MEDIUM',4,'G','LONG'
'M',11,'MATURE','HIGHWAY','MEDIUM',4,'N','LONG'
'A',34,'MATURE','HIGHWAY','MEDIUM',4,'G','MEDIUM'
'A',39.5,'MODERN','HIGHWAY','MEDIUM',4,'G','MEDIUM'
'A',39.7,'MODERN','RR','SHORT',2,'G','MEDIUM'
'A',38.5,'MODERN','HIGHWAY','MEDIUM',2,'N','MEDIUM'
'O',48,'MODERN','HIGHWAY','LONG',2,'G','LONG'
'Y',52,'MODERN','HIGHWAY',?,?,'G','MEDIUM'
'Y',51,'MODERN','RR',?,?,'G','MEDIUM'
'M',23,'MODERN','HIGHWAY','MEDIUM',2,'G','MEDIUM'
'M',22,'MODERN','HIGHWAY','SHORT',4,'G','MEDIUM'
'M',14,'MODERN','HIGHWAY','LONG',4,'G','LONG'
'M',19,'MODERN','HIGHWAY','MEDIUM',4,'G','LONG'
'A',37,'MODERN','HIGHWAY','LONG',4,'N','LONG'
'O',42,'MODERN','HIGHWAY','SHORT',?,'G',?
'O',47,'MODERN','HIGHWAY','MEDIUM',2,'G','LONG'
'M',1,'MODERN','HIGHWAY','MEDIUM',6,'G','LONG'
'A',33,'MODERN','HIGHWAY','SHORT',4,'G','MEDIUM'
'M',9,'MODERN','HIGHWAY','LONG',4,'G','LONG'
'A',24,'MODERN','HIGHWAY','SHORT',6,'G','MEDIUM'
'O',44,'MODERN','HIGHWAY','LONG',6,'G','LONG'
'M',7,'MODERN','HIGHWAY','SHORT',6,'G','LONG'
'O',43,'MODERN','HIGHWAY',?,?,'G',?
'A',28,'MODERN','HIGHWAY',?,?,'G',?
