@relation pittsburgh_bridges_1.3
@attribute V2 {'A','M','O','Y'}
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 {'AQUEDUCT','HIGHWAY','RR','WALK'}
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 {'G','N'}
@attribute class {'LONG','MEDIUM','SHORT'}
@data
'A',24,1915,'HIGHWAY',1000,4,'G','LONG'
'A',37,1918,'RR',2300,2,'N','LONG'
'A',31,1920,'RR',2122,2,'G','MEDIUM'
'A',30,1921,'WALK',?,?,'G',?
'A',29,1923,'HIGHWAY',885,4,'G','MEDIUM'
'A',32,1924,'HIGHWAY',2365,4,'G','MEDIUM'
'A',27,1926,'HIGHWAY',860,4,'G','MEDIUM'
'A',26,1926,'HIGHWAY',884,4,'G','MEDIUM'
'O',46,1927,'HIGHWAY',1770,2,'G','LONG'
'A',38,1927,'HIGHWAY',1508,?,'G','MEDIUM'
'M',5,1927,'HIGHWAY',2663,4,'N','MEDIUM'
'M',1,1927,'HIGHWAY',1330,4,'G','LONG'
'A',30,1928,'HIGHWAY',2678,4,'G','MEDIUM'
'M',20,1928,'HIGHWAY',2220,2,'G','MEDIUM'
'A',25,1928,'HIGHWAY',860,4,'G','MEDIUM'
'M',17,1928,'HIGHWAY',2250,2,'G','MEDIUM'
'O',40,1931,'HIGHWAY',1365,4,'G','LONG'
'O',42,1931,'HIGHWAY',1450,4,'N','LONG'
'M',6,1931,'HIGHWAY',1500,4,'G','LONG'
'M',11,1937,'HIGHWAY',1690,4,'N','LONG'
'A',34,1939,'HIGHWAY',1800,4,'G','MEDIUM'
'A',39.5,1945,'HIGHWAY',1060,4,'G','MEDIUM'
'A',39.7,1945,'RR',840,2,'G','MEDIUM'
'A',38.5,1945,'HIGHWAY',1710,2,'N','MEDIUM'
'O',48,1945,'HIGHWAY',2160,2,'G','LONG'
'Y',52,1945,'HIGHWAY',?,?,'G','MEDIUM'
'Y',51,1945,'RR',?,?,'G','MEDIUM'
'M',23,1950,'HIGHWAY',1320,2,'G','MEDIUM'
'M',22,1951,'HIGHWAY',900,4,'G','MEDIUM'
'M',14,1951,'HIGHWAY',2423,4,'G','LONG'
'M',19,1951,'HIGHWAY',1031,4,'G','LONG'
'A',37,1955,'HIGHWAY',2300,4,'N','LONG'
'O',42,1955,'HIGHWAY',804,?,'G',?
'O',47,1959,'HIGHWAY',1700,2,'G','LONG'
'M',1,1959,'HIGHWAY',1000,6,'G','LONG'
'A',33,1961,'HIGHWAY',980,4,'G','MEDIUM'
'M',9,1962,'HIGHWAY',2213,4,'G','LONG'
'A',24,1969,'HIGHWAY',870,6,'G','MEDIUM'
'O',44,1975,'HIGHWAY',3756,6,'G','LONG'
'M',7,1978,'HIGHWAY',950,6,'G','LONG'
'O',43,1982,'HIGHWAY',?,?,'G',?
'A',28,1986,'HIGHWAY',?,?,'G',?
